#project	experiment	organism	sample	external_db_name	sort order
PlasmoDB	<b>P. falciparum cytoplasmic and nuclear fractions from rings, trophozoites and schizonts (3D7) (Oehring and Woodcroft et al. - unpublished)</b>	<i>Plasmodium falciparum</i>	Trophozoite stage fraction 1 	Pf_Voss_trophs_stages_F1_RSRC	2
PlasmoDB	<b>P. falciparum cytoplasmic and nuclear fractions from rings, trophozoites and schizonts (3D7) (Oehring and Woodcroft et al. - unpublished)</b>	<i>Plasmodium falciparum</i>	Schizont stage fraction 5	Pf_Voss_schizonts_stages_F5_RSRC	3
PlasmoDB	<b>P. falciparum cytoplasmic and nuclear fractions from rings, trophozoites and schizonts (3D7) (Oehring and Woodcroft et al. - unpublished)</b>	<i>Plasmodium falciparum</i>	Schizont stage fraction 4	Pf_Voss_schizonts_stages_F4_RSRC	3
PlasmoDB	<b>P. falciparum cytoplasmic and nuclear fractions from rings, trophozoites and schizonts (3D7) (Oehring and Woodcroft et al. - unpublished)</b>	<i>Plasmodium falciparum</i>	Schizont stage fraction 3	Pf_Voss_schizonts_stages_F3_RSRC	3
PlasmoDB	<b>P. falciparum cytoplasmic and nuclear fractions from rings, trophozoites and schizonts (3D7) (Oehring and Woodcroft et al. - unpublished)</b>	<i>Plasmodium falciparum</i>	Schizont stage fraction 2	Pf_Voss_schizonts_stages_F2_RSRC	3
PlasmoDB	<b>P. falciparum cytoplasmic and nuclear fractions from rings, trophozoites and schizonts (3D7) (Oehring and Woodcroft et al. - unpublished)</b>	<i>Plasmodium falciparum</i>	Schizont stage fraction 1	Pf_Voss_schizonts_stages_F1_RSRC	3
PlasmoDB	<b>P. falciparum cytoplasmic and nuclear fractions from rings, trophozoites and schizonts (3D7) (Oehring and Woodcroft et al. - unpublished)</b>	<i>Plasmodium falciparum</i>	Ring stage fraction 5	Pf_Voss_ring_stages_F5_RSRC	1
PlasmoDB	<b>P. falciparum cytoplasmic and nuclear fractions from rings, trophozoites and schizonts (3D7) (Oehring and Woodcroft et al. - unpublished)</b>	<i>Plasmodium falciparum</i>	Ring stage fraction 4	Pf_Voss_ring_stages_F4_RSRC	1
PlasmoDB	<b>P. falciparum cytoplasmic and nuclear fractions from rings, trophozoites and schizonts (3D7) (Oehring and Woodcroft et al. - unpublished)</b>	<i>Plasmodium falciparum</i>	Ring stage fraction 3	Pf_Voss_ring_stages_F3_RSRC	1
PlasmoDB	<b>P. falciparum cytoplasmic and nuclear fractions from rings, trophozoites and schizonts (3D7) (Oehring and Woodcroft et al. - unpublished)</b>	<i>Plasmodium falciparum</i>	Ring stage fraction 2	Pf_Voss_ring_stages_F2_RSRC	1
PlasmoDB	<b>P. falciparum cytoplasmic and nuclear fractions from rings, trophozoites and schizonts (3D7) (Oehring and Woodcroft et al. - unpublished)</b>	<i>Plasmodium falciparum</i>	Ring stage fraction 1	Pf_Voss_ring_stages_F1_RSRC	1
PlasmoDB	<b>Schizont stage proteome from human blood sample (Roobsoong et al.)</b>	<i>Plasmodium vivax</i>	schizont stage proteome from human blood sample	Pvivax_Cui_Schizont_Proteomics_RSRC	2
AmoebaDB	<b>Human Serum Coated Magnetic Bead-Purified Phagosomes from Trophozoite (Marion et. al.)</b>	<i>Entamoeba histolytica</i>	WildType at 3 mins	Ehistolytica_Marion_Proteomics_Wild_Type_RSRC	
AmoebaDB	<b>Human Serum Coated Magnetic Bead-Purified Phagosomes from Trophozoite (Marion et. al.)</b>	<i>Entamoeba histolytica</i>	Myosin IB at 5 mins	Ehistolytica_Marion_Proteomics_MyoIB_5Min_RSRC	
AmoebaDB	<b>Human Serum Coated Magnetic Bead-Purified Phagosomes from Trophozoite (Marion et. al.)</b>	<i>Entamoeba histolytica</i>	Myosin IB 15 mins	Ehistolytica_Marion_Proteomics_MyoIB_15Min_RSRC	
